Assembly	contigs
# contigs (>= 0 bp)	127
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33781
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	736
Total length	5292
Reference length	29903
GC (%)	38.55
Reference GC (%)	37.97
N50	581
N75	533
L50	5
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	17.580
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	76.09
# indels per 100 kbp	0.00
# genomic features	4 + 17 part
Largest alignment	736
Total aligned length	5257
NA50	572
NGA50	-
NA75	533
LA50	5
LA75	7
