Assembly	ERR4244453_scaffolds
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29173
Total length (>= 1000 bp)	25552
Total length (>= 5000 bp)	14331
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	9026
Total length	27452
Reference length	29903
GC (%)	37.63
Reference GC (%)	37.97
N50	5305
NG50	4738
N75	2260
NG75	1604
L50	2
LG50	3
L75	4
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.208
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	14.67
# indels per 100 kbp	0.00
# genomic features	24 + 17 part
Largest alignment	9026
Total aligned length	27452
NA50	5305
NGA50	4738
NA75	2260
NGA75	1604
LA50	2
LGA50	3
LA75	4
LGA75	5
