Assembly	contigs
# contigs (>= 0 bp)	85
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34427
Total length (>= 1000 bp)	3962
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	24
Largest contig	1697
Total length	18682
Reference length	29903
GC (%)	37.70
Reference GC (%)	37.97
N50	856
NG50	586
N75	614
L50	9
LG50	18
L75	16
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	1369
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	61.275
Duplication ratio	1.020
# N's per 100 kbp	0.00
# mismatches per 100 kbp	32.75
# indels per 100 kbp	0.00
# genomic features	4 + 21 part
Largest alignment	1697
Total aligned length	18682
NA50	856
NGA50	586
NA75	614
LA50	9
LGA50	18
LA75	16
