Assembly	SRR11494716
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	2
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	59756
Total length (>= 1000 bp)	59756
Total length (>= 5000 bp)	59756
Total length (>= 10000 bp)	59756
Total length (>= 25000 bp)	59756
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	29886
Total length	59756
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	29886
NG50	29886
N75	29870
NG75	29886
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.816
Duplication ratio	2.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	60.31
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29848
Total aligned length	59692
NA50	29844
NGA50	29848
NA75	29844
NGA75	29848
LA50	2
LGA50	1
LA75	2
LGA75	1
