Assembly	contigs
# contigs (>= 0 bp)	27
# contigs (>= 1000 bp)	14
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30919
Total length (>= 1000 bp)	24988
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	2681
Total length	29453
Reference length	29903
GC (%)	37.83
Reference GC (%)	37.97
N50	1871
NG50	1871
N75	1220
NG75	1220
L50	7
LG50	7
L75	12
LG75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.877
Duplication ratio	1.017
# N's per 100 kbp	0.00
# mismatches per 100 kbp	34.52
# indels per 100 kbp	3.45
# genomic features	16 + 25 part
Largest alignment	2681
Total aligned length	29451
NA50	1871
NGA50	1871
NA75	1220
NGA75	1220
LA50	7
LGA50	7
LA75	12
LGA75	12
