Assembly	contigs
# contigs (>= 0 bp)	56
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	22291
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	952
Total length	7758
Reference length	29903
GC (%)	39.28
Reference GC (%)	37.97
N50	633
N75	543
L50	6
L75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	25.516
Duplication ratio	1.017
# N's per 100 kbp	0.00
# mismatches per 100 kbp	26.21
# indels per 100 kbp	0.00
# genomic features	0 + 21 part
Largest alignment	952
Total aligned length	7697
NA50	633
NGA50	-
NA75	543
LA50	6
LA75	9
