Assembly	transcripts
# contigs (>= 0 bp)	14
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	37989
Total length (>= 1000 bp)	35189
Total length (>= 5000 bp)	29344
Total length (>= 10000 bp)	29344
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	15039
Total length	35781
Reference length	29903
GC (%)	38.86
Reference GC (%)	37.97
N50	14305
NG50	15039
N75	14305
NG75	14305
L50	2
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	4
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	592
Genome fraction (%)	97.184
Duplication ratio	1.211
# N's per 100 kbp	0.00
# mismatches per 100 kbp	106.67
# indels per 100 kbp	17.21
# genomic features	36 + 5 part
Largest alignment	15039
Total aligned length	35062
NA50	14286
NGA50	15039
NA75	14286
NGA75	14286
LA50	2
LGA50	1
LA75	2
LGA75	2
