Assembly	SRR11563851
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33103
Total length (>= 1000 bp)	33103
Total length (>= 5000 bp)	29828
Total length (>= 10000 bp)	29828
Total length (>= 25000 bp)	29828
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	29828
Total length	33103
Reference length	29903
GC (%)	38.72
Reference GC (%)	37.97
N50	29828
NG50	29828
N75	29828
NG75	29828
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.746
Duplication ratio	1.110
# N's per 100 kbp	0.00
# mismatches per 100 kbp	53.64
# indels per 100 kbp	6.71
# genomic features	48 + 1 part
Largest alignment	29828
Total aligned length	33049
NA50	29828
NGA50	29828
NA75	29828
NGA75	29828
LA50	1
LGA50	1
LA75	1
LGA75	1
