Assembly	ERR4238579_scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29504
Total length (>= 1000 bp)	29370
Total length (>= 5000 bp)	29370
Total length (>= 10000 bp)	29370
Total length (>= 25000 bp)	29370
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	29370
Total length	29370
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	29370
NG50	29370
N75	29370
NG75	29370
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.214
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.45
# indels per 100 kbp	3.40
# genomic features	40 + 1 part
Largest alignment	29370
Total aligned length	29370
NA50	29370
NGA50	29370
NA75	29370
NGA75	29370
LA50	1
LGA50	1
LA75	1
LGA75	1
