Assembly	ERR4085145_scaffolds
# contigs (>= 0 bp)	61
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34274
Total length (>= 1000 bp)	25136
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	4514
Total length	28894
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	3056
NG50	3056
N75	1884
NG75	1841
L50	4
LG50	4
L75	7
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.599
Duplication ratio	1.011
# N's per 100 kbp	0.00
# mismatches per 100 kbp	31.48
# indels per 100 kbp	7.00
# genomic features	24 + 25 part
Largest alignment	4514
Total aligned length	28894
NA50	3056
NGA50	3056
NA75	1884
NGA75	1841
LA50	4
LGA50	4
LA75	7
LGA75	8
