Assembly	ERR4305021_scaffolds
# contigs (>= 0 bp)	31
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31337
Total length (>= 1000 bp)	23828
Total length (>= 5000 bp)	15794
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	9325
Total length	26933
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	6469
NG50	6469
N75	2545
NG75	2056
L50	2
LG50	2
L75	4
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	3
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.011
Duplication ratio	1.012
# N's per 100 kbp	560.65
# mismatches per 100 kbp	11.27
# indels per 100 kbp	3.76
# genomic features	36 + 9 part
Largest alignment	9225
Total aligned length	26783
NA50	6469
NGA50	6469
NA75	2545
NGA75	2056
LA50	2
LGA50	2
LA75	4
LGA75	5
