Assembly	SRR11597206.contigs
# contigs (>= 0 bp)	29
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	39785
Total length (>= 1000 bp)	29314
Total length (>= 5000 bp)	28132
Total length (>= 10000 bp)	18872
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	18872
Total length	32620
Reference length	29903
GC (%)	39.55
Reference GC (%)	37.97
N50	18872
NG50	18872
N75	9260
NG75	9260
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	6 + 0 part
Unaligned length	3306
Genome fraction (%)	97.830
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	10.26
# indels per 100 kbp	17.09
# genomic features	40 + 9 part
Largest alignment	18872
Total aligned length	29259
NA50	18872
NGA50	18872
NA75	9242
NGA75	9242
LA50	1
LGA50	1
LA75	2
LGA75	2
