Assembly	ERR4238579_scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29646
Total length (>= 1000 bp)	28962
Total length (>= 5000 bp)	28962
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	8612
Total length	29646
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	7264
NG50	7264
N75	7098
NG75	7098
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.271
Duplication ratio	1.009
# N's per 100 kbp	172.03
# mismatches per 100 kbp	37.43
# indels per 100 kbp	3.40
# genomic features	28 + 13 part
Largest alignment	8612
Total aligned length	29596
NA50	7214
NGA50	7214
NA75	7098
NGA75	7098
LA50	2
LGA50	2
LA75	3
LGA75	3
