Assembly	SRR11826966
# contigs (>= 0 bp)	39
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	46677
Total length (>= 1000 bp)	30902
Total length (>= 5000 bp)	29822
Total length (>= 10000 bp)	29822
Total length (>= 25000 bp)	29822
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	29822
Total length	38786
Reference length	29903
GC (%)	38.83
Reference GC (%)	37.97
N50	29822
NG50	29822
N75	29822
NG75	29822
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	13 + 0 part
Unaligned length	8964
Genome fraction (%)	99.732
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.47
# indels per 100 kbp	3.35
# genomic features	48 + 1 part
Largest alignment	29822
Total aligned length	29822
NA50	29822
NGA50	29822
NA75	29822
NGA75	29822
LA50	1
LGA50	1
LA75	1
LGA75	1
