Assembly	ERR4238406_scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29563
Total length (>= 1000 bp)	29352
Total length (>= 5000 bp)	26572
Total length (>= 10000 bp)	19242
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19242
Total length	29352
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	19242
NG50	19242
N75	7330
NG75	7330
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.157
Duplication ratio	1.000
# N's per 100 kbp	6.81
# mismatches per 100 kbp	30.66
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	19242
Total aligned length	29352
NA50	19242
NGA50	19242
NA75	7330
NGA75	7330
LA50	1
LGA50	1
LA75	2
LGA75	2
