Assembly	ERR4304934_scaffolds
# contigs (>= 0 bp)	21
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30907
Total length (>= 1000 bp)	27463
Total length (>= 5000 bp)	21131
Total length (>= 10000 bp)	15030
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	15030
Total length	29074
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	15030
NG50	15030
N75	2853
NG75	2853
L50	1
LG50	1
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.415
Duplication ratio	1.008
# N's per 100 kbp	859.87
# mismatches per 100 kbp	20.81
# indels per 100 kbp	17.34
# genomic features	32 + 13 part
Largest alignment	15030
Total aligned length	29074
NA50	15030
NGA50	15030
NA75	2853
NGA75	2853
LA50	1
LGA50	1
LA75	3
LGA75	3
