Assembly	contigs
# contigs (>= 0 bp)	144
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	36541
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	916
Total length	5089
Reference length	29903
GC (%)	38.32
Reference GC (%)	37.97
N50	615
N75	540
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	16.704
Duplication ratio	1.019
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.02
# indels per 100 kbp	0.00
# genomic features	0 + 25 part
Largest alignment	916
Total aligned length	5089
NA50	615
NGA50	-
NA75	540
LA50	4
LA75	6
