Assembly	transcripts
# contigs (>= 0 bp)	15
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29172
Total length (>= 1000 bp)	25223
Total length (>= 5000 bp)	12857
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	6537
Total length	27618
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	3773
NG50	3773
N75	2495
NG75	2210
L50	3
LG50	3
L75	5
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.452
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.22
# indels per 100 kbp	7.31
# genomic features	28 + 17 part
Largest alignment	6533
Total aligned length	27427
NA50	3754
NGA50	3754
NA75	2477
NGA75	2210
LA50	3
LGA50	3
LA75	5
LGA75	6
