Assembly	ERR4329421
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31483
Total length (>= 1000 bp)	29148
Total length (>= 5000 bp)	10376
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	5238
Total length	31092
Reference length	29903
GC (%)	38.47
Reference GC (%)	37.97
N50	2195
NG50	2409
N75	1627
NG75	1646
L50	5
LG50	4
L75	9
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.455
Duplication ratio	1.089
# N's per 100 kbp	0.00
# mismatches per 100 kbp	28.03
# indels per 100 kbp	3.50
# genomic features	32 + 17 part
Largest alignment	5226
Total aligned length	30934
NA50	2195
NGA50	2409
NA75	1612
NGA75	1627
LA50	5
LGA50	4
LA75	9
LGA75	8
