Assembly	contigs
# contigs (>= 0 bp)	46
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	18250
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	937
Total length	9763
Reference length	29903
GC (%)	38.31
Reference GC (%)	37.97
N50	651
N75	599
L50	7
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	32.642
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	92.20
# indels per 100 kbp	61.47
# genomic features	4 + 25 part
Largest alignment	937
Total aligned length	9763
NA50	651
NGA50	-
NA75	599
LA50	7
LA75	11
