Assembly	transcripts
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	56678
Total length (>= 1000 bp)	56678
Total length (>= 5000 bp)	51770
Total length (>= 10000 bp)	51770
Total length (>= 25000 bp)	29773
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	29773
Total length	56678
Reference length	29903
GC (%)	38.29
Reference GC (%)	37.97
N50	29773
NG50	29773
N75	21997
NG75	29773
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	1536
# local misassemblies	7
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.044
Duplication ratio	1.914
# N's per 100 kbp	0.00
# mismatches per 100 kbp	77.66
# indels per 100 kbp	3.38
# genomic features	44 + 1 part
Largest alignment	29617
Total aligned length	55778
NA50	29617
NGA50	29617
NA75	21687
NGA75	29617
LA50	1
LGA50	1
LA75	2
LGA75	1
