Assembly	contigs
# contigs (>= 0 bp)	385
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	81537
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	734
Total length	2349
Reference length	29903
GC (%)	40.14
Reference GC (%)	37.97
N50	577
N75	532
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	7.855
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	212.86
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	734
Total aligned length	2349
NA50	577
NGA50	-
NA75	532
LA50	2
LA75	3
