Assembly	transcripts
# contigs (>= 0 bp)	38
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	41596
Total length (>= 1000 bp)	25662
Total length (>= 5000 bp)	5927
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	29
Largest contig	5927
Total length	37684
Reference length	29903
GC (%)	39.33
Reference GC (%)	37.97
N50	1661
NG50	2556
N75	800
NG75	1556
L50	6
LG50	4
L75	13
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	11 + 0 part
Unaligned length	5954
Genome fraction (%)	98.241
Duplication ratio	1.080
# N's per 100 kbp	265.36
# mismatches per 100 kbp	30.64
# indels per 100 kbp	51.06
# genomic features	28 + 21 part
Largest alignment	5926
Total aligned length	31429
NA50	1661
NGA50	2533
NA75	713
NGA75	1556
LA50	6
LGA50	4
LA75	14
LGA75	8
