Assembly	contigs
# contigs (>= 0 bp)	119
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34217
Total length (>= 1000 bp)	1209
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	1209
Total length	6710
Reference length	29903
GC (%)	37.00
Reference GC (%)	37.97
N50	603
N75	558
L50	4
L75	7
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	644
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	21.811
Duplication ratio	1.029
# N's per 100 kbp	0.00
# mismatches per 100 kbp	15.33
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	1209
Total aligned length	6710
NA50	586
NGA50	-
NA75	554
LA50	4
LA75	7
