Assembly	ERR4238579_scaffolds
# contigs (>= 0 bp)	18
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30334
Total length (>= 1000 bp)	24232
Total length (>= 5000 bp)	6670
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	6670
Total length	29202
Reference length	29903
GC (%)	38.11
Reference GC (%)	37.97
N50	3118
NG50	3118
N75	1498
NG75	1498
L50	4
LG50	4
L75	7
LG75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.833
Duplication ratio	1.030
# N's per 100 kbp	171.22
# mismatches per 100 kbp	38.79
# indels per 100 kbp	0.00
# genomic features	20 + 21 part
Largest alignment	6620
Total aligned length	29152
NA50	3118
NGA50	3118
NA75	1498
NGA75	1498
LA50	4
LGA50	4
LA75	7
LGA75	7
