Assembly	ERR4305161
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	10187
Total length (>= 1000 bp)	8776
Total length (>= 5000 bp)	6380
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	6380
Total length	9323
Reference length	29903
GC (%)	38.44
Reference GC (%)	37.97
N50	6380
N75	2396
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	31.097
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	32.26
# indels per 100 kbp	10.75
# genomic features	4 + 13 part
Largest alignment	6380
Total aligned length	9296
NA50	6380
NGA50	-
NA75	2396
LA50	1
LA75	2
