Assembly	contigs
# contigs (>= 0 bp)	105
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	45316
Total length (>= 1000 bp)	13637
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	28
Largest contig	1923
Total length	26913
Reference length	29903
GC (%)	41.44
Reference GC (%)	37.97
N50	1058
NG50	956
N75	669
NG75	629
L50	9
LG50	11
L75	18
LG75	21
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	5 + 0 part
Unaligned length	4133
Genome fraction (%)	74.859
Duplication ratio	1.018
# N's per 100 kbp	0.00
# mismatches per 100 kbp	31.27
# indels per 100 kbp	0.00
# genomic features	20 + 21 part
Largest alignment	1923
Total aligned length	22779
NA50	956
NGA50	888
NA75	618
NGA75	507
LA50	10
LGA50	11
LA75	19
LGA75	23
