Assembly	contigs
# contigs (>= 0 bp)	101
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27378
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	785
Total length	5038
Reference length	29903
GC (%)	38.77
Reference GC (%)	37.97
N50	620
N75	572
L50	4
L75	6
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	572
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	16.784
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	19.92
# genomic features	0 + 21 part
Largest alignment	785
Total aligned length	5020
NA50	605
NGA50	-
NA75	551
LA50	4
LA75	6
