Assembly	SRR11676287.contigs
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30549
Total length (>= 1000 bp)	30035
Total length (>= 5000 bp)	30035
Total length (>= 10000 bp)	30035
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19679
Total length	30549
Reference length	29903
GC (%)	37.74
Reference GC (%)	37.97
N50	19679
NG50	19679
N75	10356
NG75	10356
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	514
Genome fraction (%)	99.177
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.49
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	19398
Total aligned length	29657
NA50	19398
NGA50	19398
NA75	10259
NGA75	10259
LA50	1
LGA50	1
LA75	2
LGA75	2
