Assembly	transcripts
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30062
Total length (>= 1000 bp)	29853
Total length (>= 5000 bp)	28519
Total length (>= 10000 bp)	22377
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	22377
Total length	29853
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	22377
NG50	22377
N75	6142
NG75	6142
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.144
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.36
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	22310
Total aligned length	29691
NA50	22310
NGA50	22310
NA75	6065
NGA75	6065
LA50	1
LGA50	1
LA75	2
LGA75	2
