Assembly	contigs
# contigs (>= 0 bp)	109
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29202
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	902
Total length	4216
Reference length	29903
GC (%)	37.50
Reference GC (%)	37.97
N50	802
N75	680
L50	3
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	14.092
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	47.46
# indels per 100 kbp	23.73
# genomic features	8 + 25 part
Largest alignment	902
Total aligned length	4215
NA50	802
NGA50	-
NA75	680
LA50	3
LA75	4
