Assembly	SRR11494564
# contigs (>= 0 bp)	9
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	39580
Total length (>= 1000 bp)	37316
Total length (>= 5000 bp)	29493
Total length (>= 10000 bp)	22768
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	12768
Total length	38864
Reference length	29903
GC (%)	37.78
Reference GC (%)	37.97
N50	10000
NG50	10000
N75	6725
NG75	10000
L50	2
LG50	2
L75	3
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.151
Duplication ratio	1.352
# N's per 100 kbp	0.00
# mismatches per 100 kbp	6.96
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	12768
Total aligned length	38826
NA50	9978
NGA50	9978
NA75	6725
NGA75	9978
LA50	2
LGA50	2
LA75	3
LGA75	2
