Assembly	contigs
# contigs (>= 0 bp)	159
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	41818
Total length (>= 1000 bp)	1008
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	1008
Total length	7282
Reference length	29903
GC (%)	38.29
Reference GC (%)	37.97
N50	780
N75	641
L50	5
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	24.352
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.46
# indels per 100 kbp	27.46
# genomic features	0 + 21 part
Largest alignment	1008
Total aligned length	7282
NA50	780
NGA50	-
NA75	641
LA50	5
LA75	7
