Assembly	SRR11597206
# contigs (>= 0 bp)	69
# contigs (>= 1000 bp)	14
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	59641
Total length (>= 1000 bp)	36238
Total length (>= 5000 bp)	5212
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	29
Largest contig	5212
Total length	47262
Reference length	29903
GC (%)	38.59
Reference GC (%)	37.97
N50	2315
NG50	2691
N75	1287
NG75	2315
L50	7
LG50	4
L75	14
LG75	7
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	1359
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	4 + 0 part
Unaligned length	2309
Genome fraction (%)	94.656
Duplication ratio	1.588
# N's per 100 kbp	0.00
# mismatches per 100 kbp	31.80
# indels per 100 kbp	77.72
# genomic features	24 + 25 part
Largest alignment	5212
Total aligned length	44953
NA50	2315
NGA50	2691
NA75	1162
NGA75	2315
LA50	7
LGA50	4
LA75	14
LGA75	7
