Assembly	ERR4305106
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	37724
Total length (>= 1000 bp)	37018
Total length (>= 5000 bp)	15384
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	8368
Total length	37724
Reference length	29903
GC (%)	38.47
Reference GC (%)	37.97
N50	2725
NG50	7016
N75	2541
NG75	2584
L50	4
LG50	2
L75	7
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	2
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.416
Duplication ratio	1.380
# N's per 100 kbp	0.00
# mismatches per 100 kbp	47.56
# indels per 100 kbp	3.66
# genomic features	24 + 17 part
Largest alignment	8368
Total aligned length	37567
NA50	2725
NGA50	7016
NA75	2525
NGA75	2568
LA50	4
LGA50	2
LA75	7
LGA75	5
