Assembly	ERR4238406
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	10954
Total length (>= 1000 bp)	9777
Total length (>= 5000 bp)	8126
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	8126
Total length	9777
Reference length	29903
GC (%)	38.27
Reference GC (%)	37.97
N50	8126
N75	8126
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	32.696
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.46
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	8126
Total aligned length	9777
NA50	8126
NGA50	-
NA75	8126
LA50	1
LA75	1
