Assembly	contigs
# contigs (>= 0 bp)	119
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33242
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	893
Total length	5568
Reference length	29903
GC (%)	38.61
Reference GC (%)	37.97
N50	728
N75	587
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	18.627
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	35.91
# indels per 100 kbp	53.86
# genomic features	4 + 25 part
Largest alignment	893
Total aligned length	5568
NA50	728
NGA50	-
NA75	587
LA50	4
LA75	6
