Assembly	SRR11915884
# contigs (>= 0 bp)	18
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28963
Total length (>= 1000 bp)	23291
Total length (>= 5000 bp)	12807
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	7523
Total length	26104
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	4688
NG50	4688
N75	3497
NG75	1006
L50	3
LG50	3
L75	4
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	84.858
Duplication ratio	1.029
# N's per 100 kbp	0.00
# mismatches per 100 kbp	35.47
# indels per 100 kbp	15.76
# genomic features	32 + 17 part
Largest alignment	7507
Total aligned length	25952
NA50	4688
NGA50	4688
NA75	3475
NGA75	1006
LA50	3
LGA50	3
LA75	4
LGA75	6
