Assembly	contigs
# contigs (>= 0 bp)	110
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30182
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	572
Total length	1578
Reference length	29903
GC (%)	40.94
Reference GC (%)	37.97
N50	504
N75	502
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	2 + 0 part
Unaligned length	1006
Genome fraction (%)	1.906
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	350.88
# indels per 100 kbp	350.88
# genomic features	0 + 9 part
Largest alignment	572
Total aligned length	572
NGA50	-
