Assembly	ERR4238596
# contigs (>= 0 bp)	452
# contigs (>= 1000 bp)	28
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	224191
Total length (>= 1000 bp)	69495
Total length (>= 5000 bp)	16782
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	98
Largest contig	8392
Total length	118206
Reference length	29903
GC (%)	44.32
Reference GC (%)	37.97
N50	1253
NG50	8390
N75	758
NG75	4283
L50	19
LG50	2
L75	51
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	84 + 0 part
Unaligned length	69334
Genome fraction (%)	97.147
Duplication ratio	1.682
# N's per 100 kbp	0.00
# mismatches per 100 kbp	51.64
# indels per 100 kbp	30.98
# genomic features	32 + 13 part
Largest alignment	8392
Total aligned length	48775
NGA50	8390
NGA75	4283
LGA50	2
LGA75	4
