Assembly	SRR12045928.contigs
# contigs (>= 0 bp)	43
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	58088
Total length (>= 1000 bp)	40855
Total length (>= 5000 bp)	30058
Total length (>= 10000 bp)	30058
Total length (>= 25000 bp)	30058
Total length (>= 50000 bp)	0
# contigs	21
Largest contig	30058
Total length	50124
Reference length	29903
GC (%)	41.07
Reference GC (%)	37.97
N50	30058
NG50	30058
N75	1536
NG75	30058
L50	1
LG50	1
L75	5
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	20 + 0 part
Unaligned length	20066
Genome fraction (%)	99.853
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.19
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29859
Total aligned length	29859
NA50	29859
NGA50	29859
NGA75	29859
LA50	1
LGA50	1
LGA75	1
