Assembly	contigs
# contigs (>= 0 bp)	204
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	55621
Total length (>= 1000 bp)	7120
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	1550
Total length	16228
Reference length	29903
GC (%)	38.48
Reference GC (%)	37.97
N50	884
NG50	528
N75	622
L50	8
LG50	18
L75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	53.714
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	68.48
# indels per 100 kbp	0.00
# genomic features	16 + 29 part
Largest alignment	1546
Total aligned length	16224
NA50	884
NGA50	528
NA75	622
LA50	8
LGA50	18
LA75	13
