Assembly	contigs
# contigs (>= 0 bp)	90
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25420
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	763
Total length	4988
Reference length	29903
GC (%)	38.27
Reference GC (%)	37.97
N50	653
N75	572
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	16.664
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	60.20
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	763
Total aligned length	4988
NA50	653
NGA50	-
NA75	572
LA50	4
LA75	6
