Assembly	ERR4304895_scaffolds
# contigs (>= 0 bp)	18
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30132
Total length (>= 1000 bp)	27086
Total length (>= 5000 bp)	13946
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	8943
Total length	28560
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	4879
NG50	4879
N75	2858
NG75	2219
L50	3
LG50	3
L75	4
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.914
Duplication ratio	1.006
# N's per 100 kbp	175.07
# mismatches per 100 kbp	31.71
# indels per 100 kbp	3.52
# genomic features	20 + 25 part
Largest alignment	8943
Total aligned length	28560
NA50	4879
NGA50	4879
NA75	2858
NGA75	2219
LA50	3
LGA50	3
LA75	4
LGA75	5
