Assembly	ERR4085147
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	12958
Total length (>= 1000 bp)	8932
Total length (>= 5000 bp)	7625
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	7625
Total length	11409
Reference length	29903
GC (%)	38.22
Reference GC (%)	37.97
N50	7625
N75	1307
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	38.153
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	35.06
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	7625
Total aligned length	11409
NA50	7625
NGA50	-
NA75	1307
LA50	1
LA75	2
