Assembly	transcripts
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30514
Total length (>= 1000 bp)	30112
Total length (>= 5000 bp)	23223
Total length (>= 10000 bp)	10386
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	10386
Total length	30112
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	7539
NG50	7539
N75	5298
NG75	5298
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.719
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.54
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	10386
Total aligned length	30108
NA50	7536
NGA50	7536
NA75	5298
NGA75	5298
LA50	2
LGA50	2
LA75	3
LGA75	3
