Assembly	ERR4238406.contigs
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30340
Total length (>= 1000 bp)	29892
Total length (>= 5000 bp)	29892
Total length (>= 10000 bp)	29892
Total length (>= 25000 bp)	29892
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	29892
Total length	29892
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	29892
NG50	29892
N75	29892
NG75	29892
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.883
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.13
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29868
Total aligned length	29868
NA50	29868
NGA50	29868
NA75	29868
NGA75	29868
LA50	1
LGA50	1
LA75	1
LGA75	1
