Assembly	ERR4238320
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	14152
Total length (>= 1000 bp)	13583
Total length (>= 5000 bp)	11690
Total length (>= 10000 bp)	11690
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	11690
Total length	13583
Reference length	29903
GC (%)	37.27
Reference GC (%)	37.97
N50	11690
N75	11690
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	45.424
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	44.17
# indels per 100 kbp	0.00
# genomic features	0 + 13 part
Largest alignment	11690
Total aligned length	13583
NA50	11690
NGA50	-
NA75	11690
LA50	1
LA75	1
