Assembly	ERR4304970_scaffolds
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30012
Total length (>= 1000 bp)	24414
Total length (>= 5000 bp)	19558
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	7042
Total length	27885
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	5676
NG50	5676
N75	2537
NG75	2319
L50	3
LG50	3
L75	4
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	92.904
Duplication ratio	1.004
# N's per 100 kbp	179.31
# mismatches per 100 kbp	25.20
# indels per 100 kbp	3.60
# genomic features	28 + 17 part
Largest alignment	7042
Total aligned length	27830
NA50	5676
NGA50	5676
NA75	2537
NGA75	2319
LA50	3
LGA50	3
LA75	4
LGA75	5
