Assembly	ERR4305161_scaffolds
# contigs (>= 0 bp)	14
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30462
Total length (>= 1000 bp)	27573
Total length (>= 5000 bp)	13770
Total length (>= 10000 bp)	13770
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	13770
Total length	29541
Reference length	29903
GC (%)	38.04
Reference GC (%)	37.97
N50	3436
NG50	3436
N75	1877
NG75	1578
L50	2
LG50	2
L75	4
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.184
Duplication ratio	1.017
# N's per 100 kbp	169.26
# mismatches per 100 kbp	13.76
# indels per 100 kbp	6.88
# genomic features	20 + 21 part
Largest alignment	13770
Total aligned length	29541
NA50	3436
NGA50	3436
NA75	1877
NGA75	1578
LA50	2
LGA50	2
LA75	4
LGA75	5
