Assembly	ERR4238596_scaffolds
# contigs (>= 0 bp)	6225
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	870120
Total length (>= 1000 bp)	10122
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	42
Largest contig	1544
Total length	34165
Reference length	29903
GC (%)	48.06
Reference GC (%)	37.97
N50	793
NG50	846
N75	668
NG75	736
L50	16
LG50	14
L75	28
LG75	23
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	35 + 0 part
Unaligned length	29271
Genome fraction (%)	16.269
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	20.55
# genomic features	0 + 17 part
Largest alignment	974
Total aligned length	4894
NGA50	-
