Assembly	transcripts
# contigs (>= 0 bp)	41
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	18805
Total length (>= 1000 bp)	5636
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	1761
Total length	7795
Reference length	29903
GC (%)	56.55
Reference GC (%)	37.97
N50	1259
N75	844
L50	3
L75	5
# unaligned contigs	7 + 0 part
Unaligned length	7795
# N's per 100 kbp	0.00
NGA50	-
