Assembly	ERR4210055_scaffolds
# contigs (>= 0 bp)	242
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	48712
Total length (>= 1000 bp)	14707
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	2011
Total length	21642
Reference length	29903
GC (%)	37.96
Reference GC (%)	37.97
N50	1310
NG50	817
N75	782
L50	7
LG50	11
L75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	4
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	70.301
Duplication ratio	1.029
# N's per 100 kbp	3456.24
# mismatches per 100 kbp	14.27
# indels per 100 kbp	4.76
# genomic features	12 + 29 part
Largest alignment	1922
Total aligned length	21124
NA50	1288
NGA50	817
NA75	770
LA50	7
LGA50	11
LA75	13
