Assembly	contigs
# contigs (>= 0 bp)	19
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30582
Total length (>= 1000 bp)	26927
Total length (>= 5000 bp)	12117
Total length (>= 10000 bp)	12117
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	12117
Total length	29430
Reference length	29903
GC (%)	37.91
Reference GC (%)	37.97
N50	3213
NG50	3213
N75	2174
NG75	2174
L50	2
LG50	2
L75	5
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.458
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.59
# indels per 100 kbp	0.00
# genomic features	28 + 21 part
Largest alignment	12117
Total aligned length	29426
NA50	3213
NGA50	3213
NA75	2174
NGA75	2174
LA50	2
LGA50	2
LA75	5
LGA75	5
