Assembly	contigs
# contigs (>= 0 bp)	41
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	15032
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	764
Total length	3760
Reference length	29903
GC (%)	39.49
Reference GC (%)	37.97
N50	644
N75	570
L50	3
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	12.357
Duplication ratio	1.018
# N's per 100 kbp	0.00
# mismatches per 100 kbp	108.25
# indels per 100 kbp	27.06
# genomic features	4 + 13 part
Largest alignment	715
Total aligned length	3693
NA50	644
NGA50	-
NA75	563
LA50	3
LA75	5
