Assembly	contigs
# contigs (>= 0 bp)	96
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30053
Total length (>= 1000 bp)	3705
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	1347
Total length	9235
Reference length	29903
GC (%)	36.37
Reference GC (%)	37.97
N50	611
N75	534
L50	5
L75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	30.833
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	43.38
# indels per 100 kbp	21.69
# genomic features	8 + 25 part
Largest alignment	1347
Total aligned length	9221
NA50	598
NGA50	-
NA75	534
LA50	5
LA75	9
