Assembly	contigs
# contigs (>= 0 bp)	597
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	80589
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	526
Total length	526
Reference length	29903
GC (%)	36.31
Reference GC (%)	37.97
N50	526
N75	526
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	1.759
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	526
Total aligned length	526
NA50	526
NGA50	-
NA75	526
LA50	1
LA75	1
