Assembly	transcripts
# contigs (>= 0 bp)	29
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	22303
Total length (>= 1000 bp)	12780
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	3922
Total length	15684
Reference length	29903
GC (%)	38.87
Reference GC (%)	37.97
N50	1583
NG50	668
N75	1111
L50	4
LG50	10
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	52.102
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	19.26
# indels per 100 kbp	6.42
# genomic features	16 + 21 part
Largest alignment	3921
Total aligned length	15616
NA50	1580
NGA50	664
NA75	1094
LA50	4
LGA50	10
LA75	7
