Assembly	SRR12162329
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	14
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	41633
Total length (>= 1000 bp)	40320
Total length (>= 5000 bp)	6252
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	6252
Total length	41253
Reference length	29903
GC (%)	38.92
Reference GC (%)	37.97
N50	3419
NG50	3420
N75	2298
NG75	3419
L50	5
LG50	4
L75	9
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.994
Duplication ratio	1.500
# N's per 100 kbp	0.00
# mismatches per 100 kbp	47.26
# indels per 100 kbp	18.18
# genomic features	32 + 13 part
Largest alignment	6229
Total aligned length	41015
NA50	3393
NGA50	3394
NA75	2275
NGA75	3393
LA50	5
LGA50	4
LA75	9
LGA75	6
