Assembly	transcripts
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30029
Total length (>= 1000 bp)	30029
Total length (>= 5000 bp)	28359
Total length (>= 10000 bp)	20694
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	20694
Total length	30029
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	20694
NG50	20694
N75	7665
NG75	7665
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.699
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	46.96
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	20639
Total aligned length	29928
NA50	20639
NGA50	20639
NA75	7651
NGA75	7651
LA50	1
LGA50	1
LA75	2
LGA75	2
