Assembly	SRR11578388
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34325
Total length (>= 1000 bp)	33747
Total length (>= 5000 bp)	28976
Total length (>= 10000 bp)	22293
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	22293
Total length	34325
Reference length	29903
GC (%)	38.19
Reference GC (%)	37.97
N50	22293
NG50	22293
N75	6683
NG75	6683
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.816
Duplication ratio	1.162
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.23
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	22293
Total aligned length	34320
NA50	22293
NGA50	22293
NA75	6683
NGA75	6683
LA50	1
LGA50	1
LA75	2
LGA75	2
