Assembly	contigs
# contigs (>= 0 bp)	89
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29404
Total length (>= 1000 bp)	4031
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	17
Largest contig	1662
Total length	13362
Reference length	29903
GC (%)	37.43
Reference GC (%)	37.97
N50	764
N75	620
L50	6
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	44.624
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	14.99
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	1662
Total aligned length	13362
NA50	764
NGA50	-
NA75	620
LA50	6
LA75	11
