Assembly	contigs
# contigs (>= 0 bp)	1285
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	247403
Total length (>= 1000 bp)	8036
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	41
Largest contig	1366
Total length	31178
Reference length	29903
GC (%)	43.02
Reference GC (%)	37.97
N50	767
NG50	771
N75	614
NG75	651
L50	16
LG50	15
L75	27
LG75	26
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	33 + 0 part
Unaligned length	25518
Genome fraction (%)	18.928
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	35.34
# indels per 100 kbp	0.00
# genomic features	4 + 17 part
Largest alignment	1049
Total aligned length	5660
NGA50	-
