Assembly	ERR4085145.contigs
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30365
Total length (>= 1000 bp)	30365
Total length (>= 5000 bp)	30365
Total length (>= 10000 bp)	24336
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	24336
Total length	30365
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	24336
NG50	24336
N75	24336
NG75	24336
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.706
Duplication ratio	1.018
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.54
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	24112
Total aligned length	29991
NA50	24112
NGA50	24112
NA75	24112
NGA75	24112
LA50	1
LGA50	1
LA75	1
LGA75	1
